M,N,K,in_dtype,out_dtype,bias,scale_A_type,scale_B_type,B_preshuffled,cu_num,best_solution_idx,best_time_ms,err_ratio,tflops,bw_gb_s
176,4096,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270253,0.0235,0,125.635,433.6
192,1152,288,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144530,0.0227,0,5.608,53.55
192,1152,4608,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144385,0.022,0,92.46,581.89
192,4096,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270931,0.0239,0,134.692,432.97
224,4096,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,271138,0.0237,0,158.468,450.44
192,864,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,143867,0.0221,0,17.328,125.35
240,864,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144487,0.0228,0,20.975,129.88
208,864,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144479,0.0217,0,19.06,130.24
208,4096,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270476,0.0231,0,150.765,454.44
208,4096,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,145134,0.022,0,89.344,528.9
224,1152,4608,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144780,0.0224,0,106.02,588.34
208,2304,4096,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269335,0.0239,0,164.019,469.91
208,1152,288,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,145064,0.0221,0,6.243,57.11
256,4096,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144254,0.0223,0,108.128,542.63
224,4096,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,143858,0.0217,0,97.541,543.94
224,864,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,143865,0.0214,0,20.874,135.47
256,1152,288,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144679,0.0227,0,7.479,61.68
224,1152,288,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144620,0.0219,0,6.776,59.66
240,4096,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,271141,0.0231,0,174.367,469.69
240,4096,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,141788,0.0222,0,101.891,537.87
240,1152,288,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,141113,0.022,0,7.242,61.61
256,864,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,143865,0.0223,0,22.833,135.44
224,2304,4096,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269333,0.0236,0,179.26,482.8
